pokemon_id,move_id,learn_method,pokemon_move_method_id,level,"""order"""
1,14,machine,4,0,
1,15,machine,4,0,
1,22,level-up,1,13,
1,33,level-up,1,1,1
1,34,machine,4,0,
1,36,machine,4,0,
1,38,machine,4,0,
1,45,level-up,1,1,2
1,72,machine,4,0,
1,73,level-up,1,7,
1,74,level-up,1,34,
1,75,level-up,1,27,
1,76,level-up,1,48,
1,76,machine,4,0,
1,77,level-up,1,20,
1,79,level-up,1,41,
1,92,machine,4,0,
1,99,machine,4,0,
1,102,machine,4,0,
1,104,machine,4,0,
1,115,machine,4,0,
1,117,machine,4,0,
1,156,machine,4,0,
1,164,machine,4,0,
1,13,egg,2,0,
1,22,level-up,1,10,
1,29,machine,4,0,
1,33,light-ball-egg,1,1,
1,45,level-up,1,4,
1,74,level-up,1,32,
1,75,level-up,1,20,
1,76,level-up,1,46,
1,77,level-up,1,15,1
1,79,level-up,1,15,2
1,80,egg,2,0,
1,111,machine,4,0,
1,113,egg,2,0,
1,130,egg,2,0,
1,148,machine,4,0,
1,173,machine,4,0,
1,174,machine,4,0,
1,182,machine,4,0,
1,189,machine,4,0,
1,202,machine,4,0,
1,203,machine,4,0,
1,204,egg,2,0,
1,207,machine,4,0,
1,210,machine,4,0,
1,213,machine,4,0,
1,214,machine,4,0,
1,216,machine,4,0,
1,218,machine,4,0,
1,219,egg,2,0,
1,230,level-up,1,25,
1,230,machine,4,0,
1,235,level-up,1,39,
1,237,machine,4,0,
1,241,machine,4,0,
1,33,level-up,1,1,
1,70,machine,4,0,
1,174,egg,2,0,
1,188,machine,4,0,
1,249,machine,4,0,
1,263,machine,4,0,
1,290,machine,4,0,
1,320,egg,2,0,
1,331,machine,4,0,
1,345,egg,2,0,
1,14,tutor,3,0,
1,34,tutor,3,0,
1,38,tutor,3,0,
1,102,tutor,3,0,
1,111,tutor,3,0,
1,164,tutor,3,0,
1,173,tutor,3,0,
1,189,tutor,3,0,
1,203,tutor,3,0,
1,207,tutor,3,0,
1,210,tutor,3,0,
1,214,tutor,3,0,
1,22,level-up,1,9,
1,36,level-up,1,15,
1,38,level-up,1,27,
1,45,level-up,1,3,
1,74,level-up,1,25,
1,75,level-up,1,19,
1,77,level-up,1,13,1
1,79,level-up,1,13,2
1,133,egg,2,0,
1,230,level-up,1,21,
1,235,level-up,1,33,
1,267,egg,2,0,
1,275,egg,2,0,
1,363,machine,4,0,
1,388,level-up,1,31,
1,402,level-up,1,37,
1,412,machine,4,0,
1,437,egg,2,0,
1,445,machine,4,0,
1,447,machine,4,0,
1,235,tutor,3,0,
1,282,tutor,3,0,
1,402,tutor,3,0,
1,29,tutor,3,0,
1,81,tutor,3,0,
1,124,egg,2,0,
1,388,tutor,3,0,
1,438,egg,2,0,
1,113,machine,4,0,
1,202,egg,2,0,
1,203,egg,2,0,
1,219,machine,4,0,
1,474,machine,4,0,
1,496,machine,4,0,
1,497,machine,4,0,
1,520,tutor,3,0,
1,20,tutor,3,0,
1,202,tutor,3,0,
1,267,machine,4,0,
1,580,egg,2,0,
1,590,machine,4,0,
1,22,level-up,1,7,
1,526,machine,4,0,
1,22,level-up,1,5,
1,36,level-up,1,18,
1,38,level-up,1,32,
1,73,level-up,1,9,
1,74,level-up,1,27,
1,75,level-up,1,23,
1,77,level-up,1,14,1
1,79,level-up,1,14,2
1,200,machine,4,0,
1,22,level-up,1,3,
1,36,level-up,1,21,
1,38,level-up,1,33,
1,74,level-up,1,6,
1,75,level-up,1,12,
1,76,level-up,1,36,
1,92,egg,2,0,
1,133,machine,4,0,
1,204,machine,4,0,
1,206,machine,4,0,
1,230,level-up,1,24,
1,235,level-up,1,27,
1,270,machine,4,0,
1,311,machine,4,0,
1,345,machine,4,0,
1,388,level-up,1,30,
1,402,level-up,1,18,
1,402,machine,4,0,
1,437,machine,4,0,
1,438,machine,4,0,
1,580,machine,4,0,
1,803,tutor,3,0,
2,14,machine,4,0,
2,15,machine,4,0,
2,22,level-up,1,13,
2,33,level-up,1,1,1
2,34,machine,4,0,
2,36,machine,4,0,
2,38,machine,4,0,
2,45,level-up,1,1,2
2,72,machine,4,0,
2,73,level-up,1,1,3
2,73,level-up,1,7,
2,74,level-up,1,38,
2,75,level-up,1,30,
2,76,level-up,1,54,
2,76,machine,4,0,
2,77,level-up,1,22,
2,79,level-up,1,46,
2,92,machine,4,0,
2,99,machine,4,0,
2,102,machine,4,0,
2,104,machine,4,0,
2,115,machine,4,0,
2,117,machine,4,0,
2,156,machine,4,0,
2,164,machine,4,0,
2,22,level-up,1,10,
2,29,machine,4,0,
2,45,level-up,1,4,
2,75,level-up,1,22,
2,76,level-up,1,56,
2,77,level-up,1,15,
2,79,level-up,1,15,4
2,111,machine,4,0,
2,148,machine,4,0,
2,173,machine,4,0,
2,174,machine,4,0,
2,182,machine,4,0,
2,189,machine,4,0,
2,202,machine,4,0,
2,203,machine,4,0,
2,207,machine,4,0,
2,210,machine,4,0,
2,213,machine,4,0,
2,214,machine,4,0,
2,216,machine,4,0,
2,218,machine,4,0,
2,230,level-up,1,29,
2,230,machine,4,0,
2,235,level-up,1,47,
2,237,machine,4,0,
2,241,machine,4,0,
2,70,machine,4,0,
2,188,machine,4,0,
2,249,machine,4,0,
2,263,machine,4,0,
2,290,machine,4,0,
2,331,machine,4,0,
2,14,tutor,3,0,
2,34,tutor,3,0,
2,38,tutor,3,0,
2,102,tutor,3,0,
2,111,tutor,3,0,
2,164,tutor,3,0,
2,173,tutor,3,0,
2,189,tutor,3,0,
2,203,tutor,3,0,
2,207,tutor,3,0,
2,210,tutor,3,0,
2,214,tutor,3,0,
2,22,level-up,1,9,
2,36,level-up,1,15,
2,38,level-up,1,31,
2,45,level-up,1,3,
2,74,level-up,1,28,
2,75,level-up,1,20,
2,76,level-up,1,44,
2,77,level-up,1,13,1
2,79,level-up,1,13,2
2,230,level-up,1,23,
2,235,level-up,1,39,
2,363,machine,4,0,
2,388,level-up,1,36,
2,412,machine,4,0,
2,445,machine,4,0,
2,447,machine,4,0,
2,235,tutor,3,0,
2,282,tutor,3,0,
2,402,tutor,3,0,
2,29,tutor,3,0,
2,81,tutor,3,0,
2,388,tutor,3,0,
2,113,machine,4,0,
2,219,machine,4,0,
2,474,machine,4,0,
2,496,machine,4,0,
2,497,machine,4,0,
2,520,tutor,3,0,
2,20,tutor,3,0,
2,202,tutor,3,0,
2,267,machine,4,0,
2,590,machine,4,0,
2,526,machine,4,0,
2,22,level-up,1,1,3
2,22,level-up,1,5,
2,36,level-up,1,22,
2,38,level-up,1,48,
2,73,level-up,1,1,4
2,73,level-up,1,9,
2,74,level-up,1,39,
2,75,level-up,1,31,
2,77,level-up,1,14,1
2,79,level-up,1,14,2
2,200,machine,4,0,
2,36,level-up,1,25,
2,38,level-up,1,45,
2,74,level-up,1,1,4
2,75,level-up,1,12,
2,76,level-up,1,50,
2,77,level-up,1,15,1
2,79,level-up,1,15,2
2,133,machine,4,0,
2,204,machine,4,0,
2,206,machine,4,0,
2,230,level-up,1,30,
2,235,level-up,1,35,
2,270,machine,4,0,
2,311,machine,4,0,
2,345,machine,4,0,
2,388,level-up,1,40,
2,402,level-up,1,20,
2,402,machine,4,0,
2,437,machine,4,0,
2,438,machine,4,0,
2,580,machine,4,0,
2,803,tutor,3,0,
3,14,machine,4,0,
3,15,machine,4,0,
3,22,level-up,1,1,4
3,22,level-up,1,13,
3,33,level-up,1,1,1
3,34,machine,4,0,
3,36,machine,4,0,
3,38,machine,4,0,
3,45,level-up,1,1,2
3,63,machine,4,0,
